index,question,answer
177,I need to stay motivated to achieve my goals.,I need to stay motivated to achieve my goals.
178,I need to stay disciplined with my study habits.,I need to stay disciplined with my study habits.
179,I need to stay organized with my study schedule.,I need to stay organized with my study schedule.
180,I need to stay focused on my studies.,I need to stay focused on my studies.
181,I need to stay positive about my exams.,I need to stay positive about my exams.
182,I need to stay motivated to study hard.,I need to stay motivated to study hard.
183,I need to stay disciplined with my study routine.,I need to stay disciplined with my study routine.
184,I need to stay organized with my study materials.,I need to stay organized with my study materials.
185,I need to stay focused during study sessions.,I need to stay focused during study sessions.
186,I need to stay positive about my progress.,I need to stay positive about my progress.
187,I need to stay motivated to achieve my goals.,I need to stay motivated to achieve my goals.
188,I need to stay disciplined with my study habits.,I need to stay disciplined with my study habits.
189,I need to stay organized with my study schedule.,I need to stay organized with my study schedule.
190,I need to stay focused on my studies.,I need to stay focused on my studies.
191,I need to stay positive about my exams.,I need to stay positive about my exams.
192,I need to stay motivated to study hard.,I need to stay motivated to study hard.
193,I need to stay disciplined with my study routine.,I need to stay disciplined with my study routine.
194,I need to stay organized with my study materials.,I need to stay organized with my study materials.
195,I need to stay focused during study sessions.,I need to stay focused during study sessions.
196,I need to stay positive about my progress.,I need to stay positive about my progress.
197,I need to stay motivated to achieve my goals.,I need to stay motivated to achieve my goals.
198,I need to stay disciplined with my study habits.,I need to stay disciplined with my study habits.
199,I need to stay organized with my study schedule.,I need to stay organized with my study schedule.
200,I need to stay focused on my studies.,I need to stay focused on my studies.
201,"Wah, last night I sleep until so shiok.","Wow, last night I slept so comfortably."
202,"Eh, you got enough sleep or not?","Hey, did you get enough sleep?"
203,"I need to go home early, want to sleep more.","I need to go home early, I want to sleep more."
204,"Yesterday I sleep very late, now so tired.","Yesterday I slept very late, now I'm so tired."
205,"Cannot tahan, need to take nap.","I can't take it, I need to take a nap."
206,"Tonight must sleep early, tomorrow got meeting.","Tonight I must sleep early, there's a meeting tomorrow."
207,"You snore so loud, how to sleep?","You snore so loudly, how can I sleep?"
208,"I think I need new pillow, this one not comfy.","I think I need a new pillow, this one isn't comfortable."
209,"Sleep is very important for health, you know?","Sleep is very important for health, you know?"
210,"I always dream when I sleep, very interesting.","I always dream when I sleep, it's very interesting."
211,"Cannot sleep well, too much stress.","I can't sleep well, too much stress."
212,"I need to buy blackout curtains, too bright to sleep.","I need to buy blackout curtains, it's too bright to sleep."
213,"I love to sleep in on weekends, so relaxing.","I love to sleep in on weekends, it's so relaxing."
214,"My baby always wake up at night, very hard to sleep.","My baby always wakes up at night, it's very hard to sleep."
215,I sleep better with aircon on.,I sleep better with the air conditioner on.
216,I need to drink warm milk before sleep.,I need to drink warm milk before sleeping.
217,I always read book before I sleep.,I always read a book before I sleep.
218,I cannot sleep if got noise.,I can't sleep if there's noise.
219,I sleep very well after exercise.,I sleep very well after exercising.
220,"I need to wake up early tomorrow, better sleep now.","I need to wake up early tomorrow, I better sleep now."
221,I always feel sleepy after lunch.,I always feel sleepy after lunch.
222,I cannot sleep if I drink coffee at night.,I can't sleep if I drink coffee at night.
223,"I need to change my mattress, cannot sleep well.","I need to change my mattress, I can't sleep well."
224,I sleep very well when it rains.,I sleep very well when it rains.
225,I always sleep with my teddy bear.,I always sleep with my teddy bear.
226,"I need to sleep more, always feel tired.","I need to sleep more, I always feel tired."
227,I cannot sleep if I am hungry.,I can't sleep if I'm hungry.
228,I sleep better with my favorite blanket.,I sleep better with my favorite blanket.
229,"I need to sleep early tonight, got exam tomorrow.","I need to sleep early tonight, there's an exam tomorrow."
230,I always sleep late on weekends.,I always sleep late on weekends.
231,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
232,I sleep very well after a long day.,I sleep very well after a long day.
233,"I need to sleep more, always feel sleepy.","I need to sleep more, I always feel sleepy."
234,I cannot sleep if I am worried.,I can't sleep if I'm worried.
235,I sleep better with my favorite pillow.,I sleep better with my favorite pillow.
236,"I need to sleep early tonight, got work tomorrow.","I need to sleep early tonight, there's work tomorrow."
237,I always sleep late on holidays.,I always sleep late on holidays.
238,I cannot sleep if I am too happy.,I can't sleep if I'm too happy.
239,I sleep very well after a good meal.,I sleep very well after a good meal.
240,"I need to sleep more, always feel exhausted.","I need to sleep more, I always feel exhausted."
241,I cannot sleep if I am anxious.,I can't sleep if I'm anxious.
242,I sleep better with my favorite music.,I sleep better with my favorite music.
243,"I need to sleep early tonight, got appointment tomorrow.","I need to sleep early tonight, there's an appointment tomorrow."
244,I always sleep late on special occasions.,I always sleep late on special occasions.
245,I cannot sleep if I am too nervous.,I can't sleep if I'm too nervous.
246,I sleep very well after a relaxing day.,I sleep very well after a relaxing day.
247,"I need to sleep more, always feel drained.","I need to sleep more, I always feel drained."
248,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
249,I sleep better with my favorite scent.,I sleep better with my favorite scent.
250,"I need to sleep early tonight, got early flight tomorrow.","I need to sleep early tonight, there's an early flight tomorrow."
251,I always sleep late on my birthday.,I always sleep late on my birthday.
252,I cannot sleep if I am too worried.,I can't sleep if I'm too worried.
253,I sleep very well after a tiring day.,I sleep very well after a tiring day.
254,"I need to sleep more, always feel fatigued.","I need to sleep more, I always feel fatigued."
255,I cannot sleep if I am too anxious.,I can't sleep if I'm too anxious.
256,I sleep better with my favorite pajamas.,I sleep better with my favorite pajamas.
257,"I need to sleep early tonight, got early meeting tomorrow.","I need to sleep early tonight, there's an early meeting tomorrow."
258,I always sleep late on New Year's Eve.,I always sleep late on New Year's Eve.
259,I cannot sleep if I am too stressed.,I can't sleep if I'm too stressed.
260,I sleep very well after a fun day.,I sleep very well after a fun day.
261,"I need to sleep more, always feel worn out.","I need to sleep more, I always feel worn out."
262,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
263,I sleep better with my favorite stuffed animal.,I sleep better with my favorite stuffed animal.
264,"I need to sleep early tonight, got early class tomorrow.","I need to sleep early tonight, there's an early class tomorrow."
265,I always sleep late on Christmas Eve.,I always sleep late on Christmas Eve.
266,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
267,I sleep very well after a peaceful day.,I sleep very well after a peaceful day.
268,"I need to sleep more, always feel exhausted.","I need to sleep more, I always feel exhausted."
269,I cannot sleep if I am too anxious.,I can't sleep if I'm too anxious.
270,I sleep better with my favorite music.,I sleep better with my favorite music.
271,"I need to sleep early tonight, got early shift tomorrow.","I need to sleep early tonight, there's an early shift tomorrow."
272,I always sleep late on weekends.,I always sleep late on weekends.
273,I cannot sleep if I am too nervous.,I can't sleep if I'm too nervous.
274,I sleep very well after a busy day.,I sleep very well after a busy day.
275,"I need to sleep more, always feel drained.","I need to sleep more, I always feel drained."
276,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
277,I sleep better with my favorite blanket.,I sleep better with my favorite blanket.
278,"I need to sleep early tonight, got early appointment tomorrow.","I need to sleep early tonight, there's an early appointment tomorrow."
279,I always sleep late on holidays.,I always sleep late on holidays.
280,I cannot sleep if I am too worried.,I can't sleep if I'm too worried.
281,I sleep very well after a relaxing day.,I sleep very well after a relaxing day.
282,"I need to sleep more, always feel fatigued.","I need to sleep more, I always feel fatigued."
283,I cannot sleep if I am too anxious.,I can't sleep if I'm too anxious.
284,I sleep better with my favorite pajamas.,I sleep better with my favorite pajamas.
285,"I need to sleep early tonight, got early meeting tomorrow.","I need to sleep early tonight, there's an early meeting tomorrow."
286,I always sleep late on New Year's Eve.,I always sleep late on New Year's Eve.
287,I cannot sleep if I am too stressed.,I can't sleep if I'm too stressed.
288,I sleep very well after a fun day.,I sleep very well after a fun day.
289,"I need to sleep more, always feel worn out.","I need to sleep more, I always feel worn out."
290,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
291,I sleep better with my favorite stuffed animal.,I sleep better with my favorite stuffed animal.
292,"I need to sleep early tonight, got early class tomorrow.","I need to sleep early tonight, there's an early class tomorrow."
293,I always sleep late on Christmas Eve.,I always sleep late on Christmas Eve.
294,I cannot sleep if I am too excited.,I can't sleep if I'm too excited.
295,I sleep very well after a peaceful day.,I sleep very well after a peaceful day.
296,"I need to sleep more, always feel exhausted.","I need to sleep more, I always feel exhausted."
297,I cannot sleep if I am too anxious.,I can't sleep if I'm too anxious.
298,I sleep better with my favorite music.,I sleep better with my favorite music.
299,"I need to sleep early tonight, got early shift tomorrow.","I need to sleep early tonight, there's an early shift tomorrow."
300,I always sleep late on weekends.,I always sleep late on weekends.
301,"Wah, this chicken rice damn shiok!","Wow, this chicken rice is really delicious!"
302,You want kopi or teh?,Do you want coffee or tea?
303,Let's go makan at the hawker centre.,Let's go eat at the food court.
304,This laksa very spicy leh.,This laksa is very spicy.
305,I craving for some char kway teow.,I'm craving for some fried flat noodles.
306,You try the roti prata already?,Have you tried the Indian flatbread yet?
307,The satay here quite good.,The grilled meat skewers here are quite good.
308,I think I eat too much chili crab.,I think I ate too much chili crab.
309,This nasi lemak got a lot of ingredients.,This coconut rice dish has a lot of ingredients.
310,You want to share the dessert?,Do you want to share the dessert?
311,The fishball noodles here very famous.,The fishball noodles here are very famous.
312,I need to tapao some food for later.,I need to take away some food for later.
313,This bak kut teh very strong taste.,This pork rib soup has a very strong taste.
314,You want extra sambal?,Do you want extra chili paste?
315,The kaya toast here very nice.,The coconut jam toast here is very nice.
316,I think I eat too much durian.,I think I ate too much durian.
317,This Hokkien mee got a lot of prawns.,This fried prawn noodles has a lot of prawns.
318,You want to try the carrot cake?,Do you want to try the fried radish cake?
319,The rojak here very shiok.,The mixed fruit and vegetable salad here is really delicious.
320,I need to buy some kueh for my family.,I need to buy some traditional snacks for my family.
321,This mee goreng very oily.,This fried noodles are very oily.
322,You want to eat at the kopitiam?,Do you want to eat at the coffee shop?
323,The curry puff here very crispy.,The curry puff here is very crispy.
324,I think I need more rice.,I think I need more rice.
325,This ice kacang very refreshing.,This shaved ice dessert is very refreshing.
326,You want to order some dim sum?,Do you want to order some Chinese snacks?
327,The chicken wings here very juicy.,The chicken wings here are very juicy.
328,I need to drink more water after eating this.,I need to drink more water after eating this.
329,This popiah very healthy.,This fresh spring roll is very healthy.
330,You want to try the otah?,Do you want to try the grilled fish cake?
331,The bee hoon here very tasty.,The rice vermicelli here is very tasty.
332,I think I eat too much rojak.,I think I ate too much mixed fruit and vegetable salad.
333,This chendol very sweet.,This coconut milk dessert is very sweet.
334,You want to share the fried rice?,Do you want to share the fried rice?
335,The wanton mee here very famous.,The dumpling noodles here are very famous.
336,I need to tapao some noodles for later.,I need to take away some noodles for later.
337,This tom yum soup very spicy.,This Thai spicy soup is very spicy.
338,You want extra chili?,Do you want extra chili?
339,The kaya toast here very popular.,The coconut jam toast here is very popular.
340,I think I eat too much ice cream.,I think I ate too much ice cream.
341,This Hokkien mee got a lot of flavor.,This fried prawn noodles has a lot of flavor.
342,You want to try the fried carrot cake?,Do you want to try the fried radish cake?
343,The rojak here very famous.,The mixed fruit and vegetable salad here is very famous.
344,I need to buy some kueh for my friends.,I need to buy some traditional snacks for my friends.
345,This mee goreng very spicy.,This fried noodles are very spicy.
346,You want to eat at the food court?,Do you want to eat at the food court?
347,The curry puff here very popular.,The curry puff here is very popular.
348,I think I need more noodles.,I think I need more noodles.
349,This ice kacang very sweet.,This shaved ice dessert is very sweet.
350,You want to order some sushi?,Do you want to order some sushi?
351,The chicken wings here very crispy.,The chicken wings here are very crispy.
352,I need to drink more tea after eating this.,I need to drink more tea after eating this.
353,This popiah very tasty.,This fresh spring roll is very tasty.
354,You want to try the satay?,Do you want to try the grilled meat skewers?
355,The bee hoon here very famous.,The rice vermicelli here is very famous.
356,I think I eat too much popiah.,I think I ate too much fresh spring roll.
357,This chendol very refreshing.,This coconut milk dessert is very refreshing.
358,You want to share the noodles?,Do you want to share the noodles?
359,The wanton mee here very tasty.,The dumpling noodles here are very tasty.
360,I need to tapao some rice for later.,I need to take away some rice for later.
361,This tom yum soup very flavorful.,This Thai spicy soup is very flavorful.
362,You want extra sambal chili?,Do you want extra chili paste?
363,The kaya toast here very tasty.,The coconut jam toast here is very tasty.
364,I think I eat too much cake.,I think I ate too much cake.
365,This Hokkien mee got a lot of ingredients.,This fried prawn noodles has a lot of ingredients.
366,You want to try the fried kway teow?,Do you want to try the fried flat noodles?
367,The rojak here very tasty.,The mixed fruit and vegetable salad here is very tasty.
368,I need to buy some kueh for my colleagues.,I need to buy some traditional snacks for my colleagues.
369,This mee goreng very famous.,This fried noodles are very famous.
370,You want to eat at the restaurant?,Do you want to eat at the restaurant?
371,The curry puff here very tasty.,The curry puff here is very tasty.
372,I think I need more vegetables.,I think I need more vegetables.
373,This ice kacang very popular.,This shaved ice dessert is very popular.
374,You want to order some pizza?,Do you want to order some pizza?
375,The chicken wings here very famous.,The chicken wings here are very famous.
376,I need to drink more juice after eating this.,I need to drink more juice after eating this.
377,This popiah very famous.,This fresh spring roll is very famous.
378,You want to try the nasi lemak?,Do you want to try the coconut rice dish?
379,The bee hoon here very tasty.,The rice vermicelli here is very tasty.
380,I think I eat too much bee hoon.,I think I ate too much rice vermicelli.
381,This chendol very famous.,This coconut milk dessert is very famous.
382,You want to share the soup?,Do you want to share the soup?
383,The wanton mee here very popular.,The dumpling noodles here are very popular.
384,I need to tapao some dessert for later.,I need to take away some dessert for later.
385,This tom yum soup very popular.,This Thai spicy soup is very popular.
386,You want extra garlic?,Do you want extra garlic?
387,The kaya toast here very famous.,The coconut jam toast here is very famous.
388,I think I eat too much bread.,I think I ate too much bread.
389,This Hokkien mee got a lot of taste.,This fried prawn noodles has a lot of taste.
390,You want to try the fried rice?,Do you want to try the fried rice?
391,The rojak here very popular.,The mixed fruit and vegetable salad here is very popular.
392,I need to buy some kueh for my kids.,I need to buy some traditional snacks for my kids.
393,This mee goreng very tasty.,This fried noodles are very tasty.
394,You want to eat at the cafe?,Do you want to eat at the cafe?
395,The curry puff here very famous.,The curry puff here is very famous.
396,I think I need more meat.,I think I need more meat.
397,This ice kacang very tasty.,This shaved ice dessert is very tasty.
398,You want to order some noodles?,Do you want to order some noodles?
399,The chicken wings here very tasty.,The chicken wings here are very tasty.
400,I need to drink more milk after eating this.,I need to drink more milk after eating this.
401,"Wah, today so busy ah.","Wow, today is so busy."
402,Can help me with this report?,Can you help me with this report?
403,I need to chiong this project by tonight.,I need to rush this project by tonight.
404,"Eh, you got see my pen or not?","Hey, have you seen my pen?"
405,This meeting very long leh.,This meeting is very long.
406,Can you send me the email again?,Can you send me the email again?
407,I think we need to OT tonight.,I think we need to work overtime tonight.
408,Boss say must finish by today.,The boss said it must be finished by today.
409,You got bring your laptop?,Did you bring your laptop?
410,"I go makan first, later come back.","I'll go eat first, and come back later."
411,This printer always spoil one.,This printer always breaks down.
412,Can you pass me the stapler?,Can you pass me the stapler?
413,I need to clear my inbox.,I need to clear my inbox.
414,Later got meeting at 3pm.,There's a meeting later at 3pm.
415,I think we need more manpower.,I think we need more manpower.
416,Can you check this document for me?,Can you check this document for me?
417,"I need to go toilet, brb.","I need to go to the toilet, be right back."
418,This project very siong ah.,This project is very tough.
419,Can you help me photocopy this?,Can you help me photocopy this?
420,I think we need to discuss this further.,I think we need to discuss this further.
421,You got the latest figures?,Do you have the latest figures?
422,I need to submit this by EOD.,I need to submit this by the end of the day.
423,Can you help me book a meeting room?,Can you help me book a meeting room?
424,"This file very big, cannot send by email.",This file is too big to send by email.
425,I need to update the spreadsheet.,I need to update the spreadsheet.
426,Can you call the client for me?,Can you call the client for me?
427,I think we need a break.,I think we need a break.
428,This software very laggy leh.,This software is very slow.
429,Can you help me with this presentation?,Can you help me with this presentation?
430,I need to print this document.,I need to print this document.
431,Can you send me the link?,Can you send me the link?
432,I think we need to revise the budget.,I think we need to revise the budget.
433,This task very urgent.,This task is very urgent.
434,Can you help me with the data entry?,Can you help me with the data entry?
435,I need to check my schedule.,I need to check my schedule.
436,Can you help me with the filing?,Can you help me with the filing?
437,I need to prepare for the meeting.,I need to prepare for the meeting.
438,This project very important.,This project is very important.
439,Can you help me with the research?,Can you help me with the research?
440,I need to update the report.,I need to update the report.
441,Can you help me with the analysis?,Can you help me with the analysis?
442,I need to finish this by tomorrow.,I need to finish this by tomorrow.
443,Can you help me with the presentation slides?,Can you help me with the presentation slides?
444,I need to check the figures.,I need to check the figures.
445,Can you help me with the budget?,Can you help me with the budget?
446,I need to review the document.,I need to review the document.
447,Can you help me with the report?,Can you help me with the report?
448,I need to update the database.,I need to update the database.
449,Can you help me with the project plan?,Can you help me with the project plan?
450,I need to check the email.,I need to check the email.
451,Can you help me with the task list?,Can you help me with the task list?
452,I need to finish this task.,I need to finish this task.
453,Can you help me with the schedule?,Can you help me with the schedule?
454,I need to update the timeline.,I need to update the timeline.
455,Can you help me with the meeting notes?,Can you help me with the meeting notes?
456,I need to check the status.,I need to check the status.
457,Can you help me with the follow-up?,Can you help me with the follow-up?
458,I need to finish this report.,I need to finish this report.
459,Can you help me with the documentation?,Can you help me with the documentation?
